movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,936680
霸王别姬,2,9.5,678233
这个杀手不太冷,3,9.4,888148
阿甘正传,4,9.4,755403
美丽人生,5,9.5,441359
千与千寻,6,9.2,705384
辛德勒的名单,7,9.4,404588
泰坦尼克号,8,9.2,696239
盗梦空间,9,9.3,802457
机器人总动员,10,9.3,525307
海上钢琴师,11,9.2,625632
三傻大闹宝莱坞,12,9.1,712507
忠犬八公的故事,13,9.2,486384
放牛班的春天,14,9.2,478859
大话西游之大圣娶亲,15,9.2,518584
教父,16,9.2,362135
龙猫,17,9.1,441699
楚门的世界,18,9.1,486665
乱世佳人,19,9.2,283583
熔炉,20,9.2,282727
触不可及,21,9.1,386518
天堂电影院,22,9.1,322609
当幸福来敲门,23,8.9,567540
无间道,24,9.0,424027
星际穿越,25,9.1,514340
十二怒汉,26,9.4,180474
怦然心动,27,8.9,582766
搏击俱乐部,28,9.0,418273
指环王3：王者无敌,29,9.1,297661
少年派的奇幻漂流,30,9.0,605177
鬼子来了,31,9.2,242578
蝙蝠侠：黑暗骑士,32,9.0,340913
天空之城,33,9.0,348741
活着,34,9.1,284125
罗马假日,35,8.9,402845
大话西游之月光宝盒,36,8.9,418638
飞屋环游记,37,8.9,521029
两杆大烟枪,38,9.1,283772
窃听风暴,39,9.1,233783
飞越疯人院,40,9.0,287721
海豚湾,41,9.3,187715
闻香识女人,42,8.9,336297
控方证人,43,9.6,97626
V字仇杀队,44,8.8,435485
哈尔的移动城堡,45,8.9,366056
疯狂动物城,46,9.2,527170
教父2,47,9.1,195041
死亡诗社,48,8.9,290273
美丽心灵,49,8.9,316128
指环王2：双塔奇兵,50,8.9,280586
指环王1：魔戒再现,51,8.9,313728
辩护人,52,9.1,216296
情书,53,8.8,389645
饮食男女,54,9.1,207648
美国往事,55,9.1,181550
天使爱美丽,56,8.7,497002
钢琴家,57,9.0,209485
狮子王,58,8.9,291676
七宗罪,59,8.7,448322
被嫌弃的松子的一生,60,8.9,297394
致命魔术,61,8.8,355519
小鞋子,62,9.2,143171
素媛,63,9.1,188856
勇敢的心,64,8.8,302640
剪刀手爱德华,65,8.7,498308
音乐之声,66,8.9,238730
低俗小说,67,8.8,345092
本杰明·巴顿奇事,68,8.7,405135
黑客帝国,69,8.8,289757
沉默的羔羊,70,8.7,363552
西西里的美丽传说,71,8.7,360363
拯救大兵瑞恩,72,8.9,245435
入殓师,73,8.8,325674
蝴蝶效应,74,8.7,392057
玛丽和马克思,75,8.9,236435
让子弹飞,76,8.7,638950
春光乍泄,77,8.8,253824
心灵捕手,78,8.8,278418
大闹天宫,79,9.2,102385
幽灵公主,80,8.8,240895
阳光灿烂的日子,81,8.7,277510
第六感,82,8.8,240357
重庆森林,83,8.7,338638
大鱼,84,8.7,258152
看不见的客人,85,8.7,298151
禁闭岛,86,8.6,367998
射雕英雄传之东成西就,87,8.7,282050
末代皇帝,88,8.9,171719
甜蜜蜜,89,8.8,237387
狩猎,90,9.0,131972
一一,91,8.9,159564
阳光姐妹淘,92,8.8,274441
致命ID,93,8.6,325505
上帝之城,94,8.9,160908
布达佩斯大饭店,95,8.7,317517
告白,96,8.7,349564
断背山,97,8.6,325184
加勒比海盗,98,8.6,351187
哈利·波特与魔法石,99,8.7,260851
猫鼠游戏,100,8.7,230065
摩登时代,101,9.2,90613
爱在黎明破晓前,102,8.7,224646
阿凡达,103,8.6,536930
穿条纹睡衣的男孩,104,8.9,148244
风之谷,105,8.8,179155
爱在日落黄昏时,106,8.7,201983
消失的爱人,107,8.7,361368
侧耳倾听,108,8.8,170970
萤火虫之墓,109,8.7,206504
超脱,110,8.8,174991
驯龙高手,111,8.7,288481
倩女幽魂,112,8.6,254976
红辣椒,113,8.9,136210
恐怖直播,114,8.7,222999
菊次郎的夏天,115,8.7,184214
幸福终点站,116,8.6,227596
七武士,117,9.2,78227
岁月神偷,118,8.6,310588
海洋,119,9.0,99787
神偷奶爸,120,8.5,380466
借东西的小人阿莉埃蒂,121,8.7,218929
真爱至上,122,8.5,317022
杀人回忆,123,8.6,212241
电锯惊魂,124,8.7,200577
谍影重重3,125,8.7,182395
贫民窟的百万富翁,126,8.5,399204
雨人,127,8.6,211804
小森林 夏秋篇,128,8.9,130846
东邪西毒,129,8.6,252456
喜剧之王,130,8.5,316184
记忆碎片,131,8.5,282041
燃情岁月,132,8.7,149896
喜宴,133,8.8,141004
怪兽电力公司,134,8.6,242243
疯狂原始人,135,8.7,373112
虎口脱险,136,8.9,107951
黑天鹅,137,8.5,420226
卢旺达饭店,138,8.8,120480
英雄本色,139,8.6,163759
恋恋笔记本,140,8.5,283796
猜火车,141,8.5,250175
穿越时空的少女,142,8.6,186659
魂断蓝桥,143,8.8,129962
傲慢与偏见,144,8.4,303339
雨中曲,145,8.9,93585
教父3,146,8.8,130715
